text,label
"Aplikasi ini sangat bagus dan bermanfaat, terima kasih developer",positif
"Suka banget sama fiturnya, user interface juga bersih",positif
"Tidak bisa dibuka di hp saya, sering force close",negatif
"Sangat mengecewakan, banyak bug dan loading lama",negatif
"Biasa saja, fitur standar seperti aplikasi lain",netral
"Lumayan membantu tapi masih perlu banyak perbaikan",netral
"Keren abis, sangat rekomendasi buat yang butuh aplikasi ini",positif
"Pelayanan buruk, respon lambat sekali",negatif
"Cukup oke untuk penggunaan sehari-hari",netral
"Update terbaru malah bikin lemot",negatif
"Terima kasih, sangat membantu pekerjaan saya",positif
"Fitur premium terlalu mahal, tidak worth it",negatif
"Tampilan oke tapi navigasi agak membingungkan",netral
"Mantap, tidak ada kendala selama pemakaian",positif
"Gagal login terus padahal password benar",negatif
"Aplikasinya ringan dan cepat, suka!",positif
"Kadang error saat upload foto, tolong diperbaiki",netral
"Sangat puas dengan performanya sejauh ini",positif
"Jelek banget, nyesel download",negatif
"Cukup stabil, tidak pernah crash",netral
"Sempurna! Sesuai ekspektasi saya",positif
"Tolong tambahkan fitur dark mode dong",netral
"Sampah, jangan download aplikasi ini",negatif
"Sangat intuitif dan mudah digunakan",positif
"Server sering down, tidak bisa diakses",negatif
"Oke lah, not bad",netral
"Bintang 5 buat developernya",positif
"Tidak user friendly, susah dimengerti",negatif
"Loadingnya lama banget bikin emosi",negatif
"Fitur yang dijanjikan tidak ada",negatif
